;ch_avail;ch_avail_plug2;soc_min;soc_max;soc_min_plug2;soc_refuel;soc_max_travel;distance;ch_direct;ch_refuel;ch_travel;consumption;dem_temp;max_el_distance;nprofiles
2012-01-01 00:00:00;8.25;8.25;0.9249322588245074;46.520833333333336;11.791409492492676;46.520833333333336;46.520833333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
2012-01-01 01:00:00;8.25;8.25;0.9249322588245074;46.520833333333336;11.791409492492676;46.520833333333336;46.520833333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012-01-01 02:00:00;8.25;8.25;0.9249322588245074;46.520833333333336;11.791409492492676;46.520833333333336;46.520833333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012-01-01 03:00:00;8.25;8.25;1.0721614236632984;46.520833333333336;12.237693081299463;46.520833333333336;46.520833333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012-01-01 04:00:00;8.25;8.25;1.530494747062524;46.520833333333336;13.610339760780334;46.520833333333336;46.520833333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012-01-01 05:00:00;8.25;8.25;1.9888281201322873;46.520833333333336;15.01646987348795;46.520833333333336;46.520833333333336;0.0;0.024250000715255737;0.0;0.0;0.024250000715255737;0.024250000715255737;0.0;
2012-01-01 06:00:00;7.791666666666667;7.5625;2.48094546670715;46.520833333333336;17.00795700152715;46.49658330281576;46.520833333333336;0.41504206452775866;0.04168198381861051;0.0;0.0;0.10999212538202603;0.04773581773042679;0.41504205763339996;
2012-01-01 07:00:00;7.5625;7.104166666666667;3.230233165125052;46.452523152033486;18.98408978184064;46.38659127553304;46.452523152033486;0.8147753886908963;0.024250000715255737;0.0;0.0;0.18286720911661783;0.041864363476634026;0.8147753675778707;
2012-01-01 08:00:00;7.104166666666667;6.645833333333333;4.639336394766967;46.29390597343445;20.863722562789917;46.20372406641642;46.29390597343445;0.7550296475937804;0.02222916732231776;0.0;0.0;0.1681178162495295;0.05486337033410867;0.7550296783447266;
2012-01-01 09:00:00;6.760416666666667;6.072916666666667;5.753697531918685;46.14801732699076;22.44566015402476;46.03560622533163;46.14801732699076;2.222235504169344;0.13735172897577286;0.04445833464463552;0.0;0.4881469284494718;0.1409418477366368;2.2222355802853904;
2012-01-01 10:00:00;6.1875;5.041666666666667;6.296800551315148;45.79722229639689;23.290537585814793;45.591917753219604;45.79722229639689;7.779526344812467;0.14218645046154657;0.0;0.0;1.379611812531948;0.09506441714862983;7.7795261815190315;
2012-01-01 11:00:00;5.958333333333333;4.583333333333333;6.478257276117802;44.55979681015015;22.664431631565094;44.212305784225464;44.55979681015015;9.511580275047567;0.04041666785875956;0.0;0.0;1.71806334455808;0.16788055282086134;9.511580156783262;
2012-01-01 12:00:00;7.40625;4.239583333333333;6.4647021889686584;42.882150053977966;21.412505755821865;42.49424237012863;42.882150053977966;10.638050568012849;0.5115266864498457;0.11458333333333333;1.2609719435373943;1.7407629676163197;0.1770434177791079;9.496017292141914;
2012-01-01 13:00:00;12.895833333333334;4.697916666666667;5.937151188651721;41.65291386842728;20.059913863738377;40.86806301275889;42.73341796795527;9.783114338073668;0.8597845782836279;0.5729166666666666;0.0;1.1918715635935466;0.12018362401674192;6.269026180108388;
2012-01-01 14:00:00;12.09375;4.583333333333333;5.823057368397713;41.32082692782084;19.38984739780426;40.24910799662272;41.85589210192362;5.1785124352820295;0.1303726186354955;0.0899559458096822;1.6855709552764893;0.3494727636377017;0.09727646162112553;1.6644243126114209;
2012-01-01 15:00:00;10.1875;4.583333333333333;5.916238933801651;41.10172688961029;19.175240476926167;39.989591320355736;42.776924093564354;4.689650659271836;0.47854166726271313;0.0;0.4583333333333333;0.3894278674076001;0.07706812769174576;2.054084541896979;
2012-01-01 16:00:00;5.958333333333333;4.583333333333333;5.771792183319728;41.19084048271179;18.99783702691396;39.600163420041405;42.915291706720986;0.42470483616152127;0.4827571486433347;0.0;0.4583333333333333;0.0816970734546582;0.013744297437369823;0.42470483233531314;
2012-01-01 17:00:00;6.072916666666667;4.583333333333333;5.690095116694768;41.59190066655477;18.99783702691396;39.518466432889305;43.7746852238973;0.1386473640472255;0.08290121952692668;0.0;0.4583333333333333;0.05155477672815323;0.02937119888762633;0.13864736755688986;
2012-01-01 18:00:00;6.416666666666667;4.583333333333333;5.638540342450142;41.623247146606445;18.946282347043354;39.466911594072975;44.26436503728231;0.20462495900940894;0.0;0.0;0.4583333333333333;0.0662036935488383;0.02937119888762633;0.2046249508857727;
2012-01-01 19:00:00;6.760416666666667;4.583333333333333;5.5723366513848305;41.557043393452965;18.880078593889873;39.400707840919495;44.65649461746216;0.47942737792637397;0.10065987706184387;0.0;0.4038345863421758;0.10893611361583073;0.03395263136674961;0.47942736744880676;
2012-01-01 20:00:00;7.21875;4.583333333333333;5.463400540252526;41.54876708984375;18.77114248275757;39.29177184899648;45.05205297470093;0.18855744921083473;0.22126869360605875;0.0;0.0;0.03286504993836085;0.004581432479123275;0.1885574460029602;
2012-01-01 21:00:00;7.333333333333333;4.583333333333333;5.430535490314166;41.73717077573141;18.738277435302734;39.25890680154165;45.240456660588585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012-01-01 22:00:00;7.333333333333333;4.583333333333333;5.430535490314166;41.73717077573141;18.738277435302734;39.25890680154165;45.240456660588585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
